Date,ETH-USD,SOL-USD
2024-01-01,2352.327880859375,109.50868225097656
2024-01-02,2355.83642578125,106.61122131347656
2024-01-03,2210.761962890625,98.59443664550781
2024-01-04,2269.0380859375,105.0775375366211
2024-01-05,2268.647216796875,99.97879028320312
2024-01-06,2241.624755859375,93.85771942138672
2024-01-07,2222.865966796875,89.2763442993164
2024-01-08,2333.03271484375,97.79044342041016
2024-01-09,2344.8271484375,99.40918731689453
2024-01-10,2582.103515625,102.03302001953125
2024-01-11,2619.619140625,99.90943908691406
2024-01-12,2524.460205078125,91.72090911865234
2024-01-13,2576.597900390625,95.73004913330078
2024-01-14,2472.2412109375,94.13314056396484
2024-01-15,2511.36376953125,94.49022674560547
2024-01-16,2587.691162109375,97.62691497802734
2024-01-17,2528.369384765625,102.0635986328125
2024-01-18,2467.018798828125,94.2509536743164
2024-01-19,2489.49853515625,93.38616943359375
2024-01-20,2469.589111328125,92.56983947753906
2024-01-21,2453.9130859375,90.84843444824219
2024-01-22,2310.826416015625,83.62281036376953
2024-01-23,2240.68603515625,84.27450561523438
2024-01-24,2233.561767578125,88.73200988769531
2024-01-25,2217.710205078125,86.88921356201172
2024-01-26,2267.19970703125,92.44236755371094
2024-01-27,2267.885986328125,94.16321563720703
2024-01-28,2257.208740234375,95.93798065185547
2024-01-29,2317.064208984375,101.56666564941406
2024-01-30,2344.49365234375,101.47297668457031
2024-01-31,2282.54443359375,97.0287094116211
2024-02-01,2303.82470703125,97.84669494628906
2024-02-02,2308.0380859375,100.44052124023438
2024-02-03,2296.038330078125,97.8799819946289
2024-02-04,2289.546142578125,95.47695922851562
2024-02-05,2298.888916015625,95.54866027832031
2024-02-06,2372.201904296875,96.86107635498047
2024-02-07,2423.7451171875,100.97927856445312
2024-02-08,2419.906494140625,102.78563690185547
2024-02-09,2487.515625,106.93333435058594
2024-02-10,2501.228271484375,109.1314697265625
2024-02-11,2507.570556640625,107.49528503417969
2024-02-12,2658.115966796875,111.99275207519531
2024-02-13,2642.185302734375,112.57930755615234
2024-02-14,2777.90234375,116.97632598876953
2024-02-15,2824.37890625,113.69940948486328
2024-02-16,2803.69140625,110.44591522216797
2024-02-17,2786.672607421875,108.98401641845703
2024-02-18,2878.998046875,112.17467498779297
2024-02-19,2943.57470703125,111.4853286743164
2024-02-20,3013.503662109375,108.45964050292969
2024-02-21,2970.35546875,105.1252212524414
2024-02-22,2971.00732421875,101.66979217529297
2024-02-23,2921.658203125,99.95469665527344
2024-02-24,2992.385986328125,104.1335220336914
2024-02-25,3112.697265625,103.4534912109375
2024-02-26,3178.99365234375,109.91853332519531
2024-02-27,3244.519287109375,108.3880844116211
2024-02-28,3385.703857421875,118.05220031738281
2024-02-29,3341.919677734375,125.71151733398438
2024-03-01,3435.053955078125,129.9904022216797
2024-03-02,3422.0498046875,129.70018005371094
2024-03-03,3490.99365234375,130.45086669921875
2024-03-04,3630.433837890625,133.194580078125
2024-03-05,3554.964599609375,125.70671081542969
2024-03-06,3819.226318359375,130.7420196533203
2024-03-07,3874.34765625,143.9778594970703
2024-03-08,3892.06103515625,145.2400360107422
2024-03-09,3915.4189453125,144.6072540283203
2024-03-10,3881.193115234375,144.5151824951172
2024-03-11,4066.445068359375,148.75096130371094
2024-03-12,3980.273193359375,151.01544189453125
2024-03-13,4006.45703125,163.83981323242188
2024-03-14,3883.140380859375,176.67974853515625
2024-03-15,3735.22021484375,182.96469116210938
2024-03-16,3522.860107421875,181.88034057617188
2024-03-17,3642.4130859375,202.12356567382812
2024-03-18,3517.985107421875,195.9927520751953
2024-03-19,3157.6181640625,170.0162811279297
2024-03-20,3513.39306640625,191.54962158203125
2024-03-21,3492.9912109375,179.2207489013672
2024-03-22,3333.68798828125,174.36370849609375
2024-03-23,3336.593994140625,172.90225219726562
2024-03-24,3454.636474609375,183.57345581054688
2024-03-25,3590.8837890625,189.0835418701172
2024-03-26,3587.5048828125,190.69985961914062
2024-03-27,3500.115234375,186.36146545410156
2024-03-28,3561.2939453125,189.6216278076172
2024-03-29,3511.80615234375,192.2279510498047
2024-03-30,3507.9443359375,194.3855438232422
2024-03-31,3647.8564453125,202.87413024902344
2024-04-01,3505.030029296875,192.5678253173828
2024-04-02,3277.234619140625,181.17225646972656
2024-04-03,3311.44189453125,185.2486114501953
2024-04-04,3330.04052734375,183.95811462402344
2024-04-05,3318.88525390625,174.5015106201172
2024-04-06,3354.183837890625,178.91534423828125
2024-04-07,3453.49462890625,179.6498565673828
2024-04-08,3695.292724609375,180.78477478027344
2024-04-09,3505.163330078125,172.4136199951172
2024-04-10,3543.737060546875,173.43736267089844
2024-04-11,3505.247802734375,172.5763702392578
2024-04-12,3243.034912109375,153.63546752929688
2024-04-13,3004.900390625,139.34169006347656
2024-04-14,3156.94189453125,151.28494262695312
2024-04-15,3101.600341796875,138.5086212158203
2024-04-16,3084.920166015625,136.27932739257812
2024-04-17,2984.7275390625,131.86618041992188
2024-04-18,3066.027587890625,142.0823974609375
2024-04-19,3059.278564453125,142.6804962158203
2024-04-20,3157.627197265625,151.13356018066406
2024-04-21,3147.28857421875,148.60931396484375
2024-04-22,3201.652099609375,157.03121948242188
2024-04-23,3219.91162109375,154.70130920410156
2024-04-24,3139.80517578125,147.74514770507812
2024-04-25,3156.509521484375,144.89212036132812
2024-04-26,3130.164794921875,139.10433959960938
2024-04-27,3252.168212890625,141.28916931152344
2024-04-28,3262.774658203125,137.85641479492188
2024-04-29,3215.428955078125,137.7766571044922
2024-04-30,3012.286865234375,126.96270751953125
