observation_date,WM2NS
2021-11-01,21180.5
2021-11-08,21262.2
2021-11-15,21327.4
2021-11-22,21356.2
2021-11-29,21384.2
2021-12-06,21527.3
2021-12-13,21582.3
2021-12-20,21707.4
2021-12-27,21751.7
2022-01-03,21727.9
2022-01-10,21744.5
2022-01-17,21718.0
2022-01-24,21533.6
2022-01-31,21522.9
2022-02-07,21560.4
2022-02-14,21571.2
2022-02-21,21574.3
2022-02-28,21658.8
2022-03-07,21811.9
2022-03-14,21862.7
2022-03-21,21865.8
2022-03-28,21852.5
2022-04-04,21995.8
2022-04-11,21982.0
2022-04-18,22055.0
2022-04-25,21607.0
2022-05-02,21613.2
2022-05-09,21550.2
2022-05-16,21582.1
2022-05-23,21537.5
2022-05-30,21523.5
2022-06-06,21622.5
2022-06-13,21597.4
2022-06-20,21554.1
2022-06-27,21528.3
2022-07-04,21624.9
2022-07-11,21590.6
2022-07-18,21567.9
2022-07-25,21520.4
2022-08-01,21589.7
2022-08-08,21581.9
2022-08-15,21590.6
2022-08-22,21536.0
2022-08-29,21469.5
2022-09-05,21538.1
2022-09-12,21534.1
2022-09-19,21478.1
2022-09-26,21356.0
2022-10-03,21428.3
2022-10-10,21397.7
2022-10-17,21430.3
2022-10-24,21289.3
2022-10-31,21341.6
2022-11-07,21377.1
2022-11-14,21376.5
2022-11-21,21380.4
2022-11-28,21340.4
